# MJD              flux              error           quality
59420.13860528576 1348.2194758296528 2.2809340953826904 0
59420.14554985696 1349.8048753079643 2.2835235595703125 0
59420.15249442816 1347.8775767882103 2.286073923110962 0
59420.15943899936 1346.1666964955443 2.2835004329681396 0
59420.16638357056 1349.7767777961408 2.285747528076172 0
59420.17332814153 1347.209642128038 2.2837140560150146 0
59420.180272712496 1350.0706107146289 2.2860679626464844 0
59420.187217283456 1348.0370690757059 2.285659074783325 0
59420.19416185442 1348.757268595135 2.287355899810791 0
59420.20110642539 1350.8613494985066 2.29160213470459 0
59420.208050996356 1348.4627207470985 2.2938954830169678 0
59420.21499556709 1348.1434630899307 2.2970669269561768 0
59420.22194013806 1355.2029386127524 2.30403208732605 0
59420.22888470879 1346.6747464344367 2.3030333518981934 0
59420.235829279525 1347.771740733876 2.3079280853271484 0
59420.24277385026 1345.9391437718427 2.311530828475952 0
59420.24971842099 1350.9305185904363 2.317387342453003 0
59420.25666299172 1345.4644285049299 2.320044994354248 0
59420.26360756222 1349.3471732631306 2.324143648147583 0
59420.270552132955 1349.3314710448462 2.327646493911743 0
59420.27749670346 1349.5877417475895 2.330738067626953 0
59420.28444127396 1347.8826589226942 2.332969903945923 0
59420.29138584446 1351.3662249521503 2.337704658508301 0
59420.29833041495 1349.688129393929 2.340832233428955 0
59420.305274985454 1351.5463638223669 2.344639539718628 0
59420.312219555955 1352.404139688149 2.3483009338378906 0
59420.319164126224 1345.8236301610782 2.3456196784973145 0
59420.326108696725 1352.6546922960497 2.3504247665405273 0
59420.33305326699 1348.260088072761 2.349313497543335 0
59420.33999783726 1349.918104662384 2.349996566772461 0
59420.34694240753 1348.328023879481 2.349759817123413 0
59420.3538869778 1348.4655243411971 2.349086284637451 0
59420.36083154807 1352.0164287697835 2.3498380184173584 0
59420.36777611833 1351.2674673157312 2.3480305671691895 0
59420.37472068836 1351.7755500505746 2.3461008071899414 0
59420.38166525863 1353.6950460565222 2.3452322483062744 0
59420.38860982867 1349.2959155386716 2.338326930999756 0
59420.3955543987 1349.0091721345102 2.334542751312256 0
59420.40249896874 1349.100168398203 2.3281826972961426 0
59420.409443538774 1350.461072899885 2.322723388671875 0
59420.4163881088 1352.8269759041 2.3188135623931885 0
59420.42333267884 1354.1287450649443 2.3140199184417725 0
59420.43027724887 1352.31262590802 2.3081624507904053 0
59420.437221818676 1352.9485615186136 2.3050925731658936 0
59420.44416638871 1353.9373343224984 2.304140329360962 0
59420.451110958515 1349.6937431194142 2.29900860786438 0
59420.45805552832 1350.4099279717748 2.297541618347168 0
59420.46500009812 1346.7012105258536 2.2954261302948 0
59420.47194466792 1346.066450734178 2.297497034072876 0
59420.47888923772 1348.920946149376 2.300530433654785 0
59420.48583380752 1346.351307757694 2.3021633625030518 0
59420.492778377324 1350.3233469174115 2.308361530303955 0
59420.49972294689 1346.1531866204164 2.309551954269409 0
59420.506667516696 1349.825130141915 2.3156304359436035 0
59420.513612086266 1352.6525002463864 2.3218271732330322 0
59420.520556655836 1351.3815056751937 2.326094150543213 0
59420.5275012254 1352.5806209457633 2.3322219848632812 0
59420.53444579497 1349.8908180977332 2.338310480117798 0
59420.54139036454 1353.0725897971247 2.3464860916137695 0
59420.54833493411 1352.193212393397 2.3527958393096924 0
59420.55527950368 1351.890325192749 2.3593568801879883 0
59420.56222407325 1349.6814029635193 2.364816904067993 0
59420.569168642585 1351.5840328209065 2.37261700630188 0
59420.576113212155 1352.6667315254917 2.379310131072998 0
59420.583057781485 1349.3807225680503 2.3838577270507812 0
59420.59000235082 1351.0110616638217 2.390397787094116 0
59420.59694692016 1349.6023678709862 2.3945155143737793 0
59420.603891489496 1355.2020210254145 2.4004273414611816 0
59420.61083605883 1350.468754487048 2.402564525604248 0
59420.61778062817 1350.355203514131 2.405290365219116 0
59420.62472519751 1352.7156882646946 2.4091086387634277 0
59420.631669766844 1354.051646256387 2.4109606742858887 0
59420.63861433595 1353.5836838117707 2.4116744995117188 0
59420.64555890528 1349.4926257083075 2.40944242477417 0
59420.65250347438 1350.6805903101986 2.410292148590088 0
59420.65944804349 1351.596711847637 2.40708327293396 0
